SEX,ECONOMY_,LEISURE,HEALTH,GOMIN,CYBER,PIHAEJA,GAHAEJA,BOHOJA,PUNISH_P,PUNISH_T,BULLYING,final_class
0,2,3,3,1,1,1,1,3,1,1,1,0
0,2,3,3,1,1,1,1,3,1.5,1,1,1
0,3,0,3,0,1,1,1,3,1,1,1,0
0,1,0,2,1,1.6,1.6,1.3,3,1,1.5,1.143,0
0,2,1,3,1,1,1.7,1,3,1,1.5,1,0
1,2,1,3,1,1,1,1,3.75,1,1,1,0
1,1,2,2,1,1.6,1.1,1,3.5,1,1,1.429,0
1,3,2,3,1,1,1,1,3.25,1.5,1,1,1
1,1,2,2,1,3.4,2.2,2.2,3.25,1.5,3.5,1.429,0
1,3,1,4,1,1,1,1,3.5,1,1.5,1,1
1,3,2,2,1,1.4,1.9,1.3,3.25,1.5,2,1.429,0
1,2,1,3,0,1,1.1,1,3,1,1,1,0
1,3,0,3,1,1,1.5,1,2.25,1,1,1.429,0
